run_id,method,re_z1,im_z1,z_sat_YL,z_sat_EA,max_residual,prec_bits,time_seconds,status
1,arblib,5.972932063152089e-6,4.9627938431472124e-8,5.972932063152089e-6,5.973120782489032e-6,NaN,1024,98.81249189376831,ok
1,float64,NaN,NaN,NaN,5.973120782489032e-6,1.0,64,0.3216879367828369,zero_or_inf_leading_coeff
2,arblib,5.971475366119031e-6,4.9587179577025234e-8,5.971475366119031e-6,5.971664221448191e-6,NaN,1024,108.80870604515076,ok
2,float64,NaN,NaN,NaN,5.971664221448191e-6,1.0,64,0.0001461505889892578,zero_or_inf_leading_coeff
3,arblib,5.969015764963624e-6,4.957666695087584e-8,5.969015764963624e-6,5.969203559197285e-6,NaN,1024,91.97532987594604,ok
3,float64,NaN,NaN,NaN,5.969203559197285e-6,1.0,64,0.00010204315185546875,zero_or_inf_leading_coeff
4,arblib,5.971292405604724e-6,4.95829102885822e-8,5.971292405604724e-6,5.97148106401876e-6,NaN,1024,106.44879698753357,ok
4,float64,NaN,NaN,NaN,5.97148106401876e-6,1.0,64,9.799003601074219e-5,zero_or_inf_leading_coeff
0,arblib,5.971187148993973e-6,4.9593703130782385e-8,5.971187148993973e-6,5.971375769578174e-6,NaN,1024,95.1614818572998,ok
0,float64,NaN,NaN,NaN,5.971375769578174e-6,1.0,64,9.298324584960938e-5,zero_or_inf_leading_coeff
